"f" "voor" "ref" "hyp"
"912" "aceabc_result.TextGrid" 34 "s" "####"
"913" "aceabc_result.TextGrid" 34 "mida" "mida"
"914" "aceabc_result.TextGrid" 34 "tähe" "####"
"915" "aceabc_result.TextGrid" 34 "mõeldakse" "mõeldakse"
"916" "aceabc_result.TextGrid" 34 "kui" "kui"
"917" "aceabc_result.TextGrid" 34 "öeldakse" "öeldakse"
"918" "aceabc_result.TextGrid" 34 "seksikas" "seksikas"
"919" "aceabc_result.TextGrid" 34 "ja" "ja"
"920" "aceabc_result.TextGrid" 34 "ja" "ja"
"921" "aceabc_result.TextGrid" 34 "tuli" "tuli"
"922" "aceabc_result.TextGrid" 34 "välja" "välja"
"923" "aceabc_result.TextGrid" 34 "et" "et"
"924" "aceabc_result.TextGrid" 34 "hästi" "hästi"
"925" "aceabc_result.TextGrid" 34 "paljude" "paljude"
"926" "aceabc_result.TextGrid" 34 "jaoks" "jaoks"
"927" "aceabc_result.TextGrid" 34 "nad" "nad"
"928" "aceabc_result.TextGrid" 34 "saavad" "saavad"
"929" "aceabc_result.TextGrid" 34 "aru" "aru"
"930" "aceabc_result.TextGrid" 34 "et" "et"
"931" "aceabc_result.TextGrid" 34 "see" "see"
"932" "aceabc_result.TextGrid" 34 "on" "on"
"933" "aceabc_result.TextGrid" 34 "üks" "üks"
"934" "aceabc_result.TextGrid" 34 "konkreetne" "konkreetne"
"935" "aceabc_result.TextGrid" 34 "välimuse" "välimuse"
"936" "aceabc_result.TextGrid" 34 "tüüp" "tüüp"
"937" "aceabc_result.TextGrid" 34 "mis" "mis"
"938" "aceabc_result.TextGrid" 34 "praegu" "praegu"
"939" "aceabc_result.TextGrid" 34 "on" "on"
"940" "aceabc_result.TextGrid" 34 "on" "on"
"941" "aceabc_result.TextGrid" 34 "esteetiliselt" "esteetiliselt"
"942" "aceabc_result.TextGrid" 34 "on" "####"
"943" "aceabc_result.TextGrid" 34 "mingi" "####"
"944" "aceabc_result.TextGrid" 34 "et" "####"
"945" "aceabc_result.TextGrid" 34 "see" "see"
"946" "aceabc_result.TextGrid" 34 "on" "on"
"947" "aceabc_result.TextGrid" 34 "väga" "väga"
"948" "aceabc_result.TextGrid" 34 "konkreetne" "konkreetne"
"949" "aceabc_result.TextGrid" 34 "esteetika" "esteetika"
"950" "aceabc_result.TextGrid" 34 "et" "et"
"951" "aceabc_result.TextGrid" 34 "sa" "sa"
"952" "aceabc_result.TextGrid" 34 "mhmh" "####"
"953" "aceabc_result.TextGrid" 34 "saa" "####"
"954" "aceabc_result.TextGrid" 34 "et" "####"
"955" "aceabc_result.TextGrid" 34 "isegi" "isegi"
"956" "aceabc_result.TextGrid" 34 "kui" "kui"
"957" "aceabc_result.TextGrid" 34 "see" "sa"
"958" "aceabc_result.TextGrid" 34 "ei" "ei"
"959" "aceabc_result.TextGrid" 34 "ei" "ei"
"960" "aceabc_result.TextGrid" 34 "meeldi" "meeldi"
"961" "aceabc_result.TextGrid" 34 "sulle" "sulle"
"962" "aceabc_result.TextGrid" 34 "siis" "siis"
"963" "aceabc_result.TextGrid" 34 "see" "####"
"964" "aceabc_result.TextGrid" 34 "on" "on"
"965" "aceabc_result.TextGrid" 34 "nagu" "####"
"966" "aceabc_result.TextGrid" 34 "lihtsalt" "####"
"967" "aceabc_result.TextGrid" 34 "stiil" "stiil"
"968" "aceabc_result.TextGrid" 34 "okei" "okei"
"969" "aceabc_result.TextGrid" 34 "see" "see"
"970" "aceabc_result.TextGrid" 34 "on" "on"
"971" "aceabc_result.TextGrid" 34 "seksikas" "seksikas"
"972" "aceabc_result.TextGrid" 34 "stiil" "stiil"
"973" "aceabc_result.TextGrid" 34 "see" "see"
"974" "aceabc_result.TextGrid" 34 "on" "on"
"975" "aceabc_result.TextGrid" 34 "talutüdruk" "talutüdruk"
"976" "aceabc_result.TextGrid" 34 "mall" "mall"
"977" "aceabc_result.TextGrid" 34 "stiil" "stiil"
"978" "aceabc_result.TextGrid" 34 "see" "see"
"979" "aceabc_result.TextGrid" 34 "on" "on"
"980" "aceabc_result.TextGrid" 34 "see" "see"
"981" "aceabc_result.TextGrid" 34 "on" "####"
"982" "aceabc_result.TextGrid" 34 "see" "see"
"983" "aceabc_result.TextGrid" 34 "on" "on"
"984" "aceabc_result.TextGrid" 34 "punk" "punk"
"985" "aceabc_result.TextGrid" 34 "see" "see"
"986" "aceabc_result.TextGrid" 34 "on" "on"
"987" "aceabc_result.TextGrid" 34 "rokkar" "rokkar"
"988" "aceabc_result.TextGrid" 34 "et" "####"
"989" "aceabc_result.TextGrid" 34 "see" "see"
"990" "aceabc_result.TextGrid" 34 "on" "on"
"991" "aceabc_result.TextGrid" 34 "nagu" "nagu"
"992" "aceabc_result.TextGrid" 34 "sellises" "sellises"
"993" "aceabc_result.TextGrid" 34 "kategoorias" "kategoorias"
"994" "aceabc_result.TextGrid" 34 "mhmh" "####"
"995" "aceabc_result.TextGrid" 34 "huvitav" "####"
"996" "aceabc_result.TextGrid" 34 "jaa" "####"
"997" "aceabc_result.TextGrid" 35 "võibolla" "võibolla"
"998" "aceabc_result.TextGrid" 35 "mis" "mis"
"999" "aceabc_result.TextGrid" 35 "mul" "mul"
"1000" "aceabc_result.TextGrid" 35 "tekkis" "tekkis"
"1001" "aceabc_result.TextGrid" 35 "nagu" "nagu"
"1002" "aceabc_result.TextGrid" 35 "mõtted" "mõtled"
"1003" "aceabc_result.TextGrid" 35 "sellega" "sellega"
"1004" "aceabc_result.TextGrid" 35 "on" "on"
"1005" "aceabc_result.TextGrid" 35 "see" "see"
"1006" "aceabc_result.TextGrid" 35 "et" "et"
"1007" "aceabc_result.TextGrid" 35 "nagu" "nagu"
"1008" "aceabc_result.TextGrid" 35 "ma" "ma"
"1009" "aceabc_result.TextGrid" 35 "olen" "olen"
"1010" "aceabc_result.TextGrid" 35 "bi" "bi"
"1011" "aceabc_result.TextGrid" 35 "ja" "ja"
"1012" "aceabc_result.TextGrid" 35 "minu" "minu"
"1013" "aceabc_result.TextGrid" 35 "jaoks" "jaoks"
"1014" "aceabc_result.TextGrid" 35 "atraktsioon" "####"
"1015" "aceabc_result.TextGrid" 35 "ka" "atraktsioonika"
"1016" "aceabc_result.TextGrid" 35 "väga" "väga"
"1017" "aceabc_result.TextGrid" 35 "suuresti" "suuresti"
"1018" "aceabc_result.TextGrid" 35 "varieerub" "varieerub"
"1019" "aceabc_result.TextGrid" 35 "sirgete" "sirgete"
"1020" "aceabc_result.TextGrid" 35 "cismeestega" "sissmeestega"
"1021" "aceabc_result.TextGrid" 35 "see" "see"
"1022" "aceabc_result.TextGrid" 35 "noh" "noh"
"1023" "aceabc_result.TextGrid" 35 "enamjaolt" "enamjaolt"
"1024" "aceabc_result.TextGrid" 35 "ongi" "ongi"
"1025" "aceabc_result.TextGrid" 35 "nagu" "nagu"
"1026" "aceabc_result.TextGrid" 35 "esteetiline" "esteetiline"
"1027" "aceabc_result.TextGrid" 35 "mhmh" "####"
"1028" "aceabc_result.TextGrid" 35 "see" "see"
"1029" "aceabc_result.TextGrid" 35 "inimene" "inimene"
"1030" "aceabc_result.TextGrid" 35 "võib" "võib"
"1031" "aceabc_result.TextGrid" 35 "kuum" "kuum"
"1032" "aceabc_result.TextGrid" 35 "välja" "välja"
"1033" "aceabc_result.TextGrid" 35 "näha" "näha"
"1034" "aceabc_result.TextGrid" 35 "aga" "aga"
"1035" "aceabc_result.TextGrid" 35 "kas" "kas"
"1036" "aceabc_result.TextGrid" 35 "ma" "ma"
"1037" "aceabc_result.TextGrid" 35 "tahan" "tahan"
"1038" "aceabc_result.TextGrid" 35 "olla" "olla"
"1039" "aceabc_result.TextGrid" 35 "temaga" "temaga"
"1040" "aceabc_result.TextGrid" 35 "kas" "####"
"1041" "aceabc_result.TextGrid" 35 "see" "####"
"1042" "aceabc_result.TextGrid" 35 "on" "####"
"1043" "aceabc_result.TextGrid" 35 "seda" "####"
"1044" "aceabc_result.TextGrid" 35 "väärt" "####"
"1045" "aceabc_result.TextGrid" 36 "ma" "ma"
"1046" "aceabc_result.TextGrid" 36 "kahtlustan" "kahtlustan"
"1047" "aceabc_result.TextGrid" 36 "et" "et"
"1048" "aceabc_result.TextGrid" 36 "see" "see"
"1049" "aceabc_result.TextGrid" 36 "see" "see"
"1050" "aceabc_result.TextGrid" 36 "seksuaaltõmme" "seksuaaltõmme"
"1051" "aceabc_result.TextGrid" 36 "on" "on"
"1052" "aceabc_result.TextGrid" 36 "miks" "miks"
"1053" "aceabc_result.TextGrid" 36 "asjad" "asjad"
"1054" "aceabc_result.TextGrid" 36 "nagu" "nagu"
"1055" "aceabc_result.TextGrid" 36 "tinder" "tinder"
"1056" "aceabc_result.TextGrid" 36 "toimivad" "toimivad"
"1057" "aceabc_result.TextGrid" 36 "sellepärast" "sellepärast"
"1058" "aceabc_result.TextGrid" 36 "et" "et"
"1059" "aceabc_result.TextGrid" 36 "sa" "sa"
"1060" "aceabc_result.TextGrid" 36 "pead" "pead"
"1061" "aceabc_result.TextGrid" 36 "otsustama" "otsustama"
"1062" "aceabc_result.TextGrid" 36 "kas" "kas"
"1063" "aceabc_result.TextGrid" 36 "sulle" "sulle"
"1064" "aceabc_result.TextGrid" 36 "meeldib" "meeldib"
"1065" "aceabc_result.TextGrid" 36 "see" "see"
"1066" "aceabc_result.TextGrid" 36 "inimene" "inimene"
"1067" "aceabc_result.TextGrid" 36 "mitte" "mitte"
"1068" "aceabc_result.TextGrid" 36 "foto" "foto"
"1069" "aceabc_result.TextGrid" 36 "järgi" "järgi"
"1070" "aceabc_result.TextGrid" 36 "ja" "####"
"1071" "aceabc_result.TextGrid" 36 "nagu" "nagu"
"1072" "aceabc_result.TextGrid" 37 "või" "või"
"1073" "aceabc_result.TextGrid" 37 "noh" "noh"
"1074" "aceabc_result.TextGrid" 37 "need" "need"
"1075" "aceabc_result.TextGrid" 37 "need" "need"
"1076" "aceabc_result.TextGrid" 37 "rõvedad" "rõvedad"
"1077" "aceabc_result.TextGrid" 37 "nagu" "nagu"
"1078" "aceabc_result.TextGrid" 37 "cat" "cat"
"1079" "aceabc_result.TextGrid" 37 "callingu" "gollingu"
"1080" "aceabc_result.TextGrid" 37 "kommentaarid" "kommentaarid"
"1081" "aceabc_result.TextGrid" 37 "kus" "kus"
"1082" "aceabc_result.TextGrid" 38 "kus" "kus"
"1083" "aceabc_result.TextGrid" 38 "kellegi" "kellegi"
"1084" "aceabc_result.TextGrid" 38 "foto" "foto"
"1085" "aceabc_result.TextGrid" 38 "jär" "####"
"1086" "aceabc_result.TextGrid" 38 "a" "####"
"1087" "aceabc_result.TextGrid" 38 "alla" "alla"
"1088" "aceabc_result.TextGrid" 38 "tulevad" "tulevad"
"1089" "aceabc_result.TextGrid" 38 "kommentaarid" "kommentaarid"
"1090" "aceabc_result.TextGrid" 38 "hei" "ei"
"1091" "aceabc_result.TextGrid" 38 "seksikas" "seksikas"
"1092" "aceabc_result.TextGrid" 38 "nagu" "####"
"1093" "aceabc_result.TextGrid" 38 "ma" "ma"
"1094" "aceabc_result.TextGrid" 38 "olin" "olin"
"1095" "aceabc_result.TextGrid" 38 "ma" "ma"
"1096" "aceabc_result.TextGrid" 38 "olin" "olin"
"1097" "aceabc_result.TextGrid" 38 "mingisuguses" "mingisuguses"
"1098" "aceabc_result.TextGrid" 38 "uudiste" "uudiste"
"1099" "aceabc_result.TextGrid" 38 "kommentaariumis" "kommentaariumis"
"1100" "aceabc_result.TextGrid" 39 "ja" "####"
"1101" "aceabc_result.TextGrid" 39 "see" "####"
"1102" "aceabc_result.TextGrid" 39 "ol" "####"
"1103" "aceabc_result.TextGrid" 39 "see" "####"
"1104" "aceabc_result.TextGrid" 39 "on" "ja"
"1105" "aceabc_result.TextGrid" 39 "nagu" "nagu"
"1106" "aceabc_result.TextGrid" 39 "poliitiline" "poliitiline"
"1107" "aceabc_result.TextGrid" 39 "poliitiline" "poliitiline"
"1108" "aceabc_result.TextGrid" 39 "jama" "jama"
"1109" "aceabc_result.TextGrid" 39 "ja" "ja"
"1110" "aceabc_result.TextGrid" 39 "siis" "siis"
"1111" "aceabc_result.TextGrid" 39 "ma" "ma"
"1112" "aceabc_result.TextGrid" 39 "nagu" "nagu"
"1113" "aceabc_result.TextGrid" 39 "kirjutasin" "kirjutasin"
"1114" "aceabc_result.TextGrid" 39 "oma" "oma"
"1115" "aceabc_result.TextGrid" 39 "arvamust" "arvamust"
"1116" "aceabc_result.TextGrid" 39 "sinna" "sinna"
"1117" "aceabc_result.TextGrid" 39 "alla" "alla"
"1118" "aceabc_result.TextGrid" 39 "tuli" "tuli"
"1119" "aceabc_result.TextGrid" 39 "tulid" "tulid"
"1120" "aceabc_result.TextGrid" 39 "inimesed" "inimesed"
"1121" "aceabc_result.TextGrid" 39 "ütlesid" "ütles"
"1122" "aceabc_result.TextGrid" 39 "aa" "aa"
"1123" "aceabc_result.TextGrid" 39 "jaa" "jaa"
"1124" "aceabc_result.TextGrid" 39 "sa" "sa"
"1125" "aceabc_result.TextGrid" 39 "oled" "oled"
"1126" "aceabc_result.TextGrid" 39 "troll" "troll"
"1127" "aceabc_result.TextGrid" 39 "ja" "ja"
"1128" "aceabc_result.TextGrid" 39 "siis" "siis"
"1129" "aceabc_result.TextGrid" 39 "ma" "ma"
"1130" "aceabc_result.TextGrid" 39 "mingi" "mingi"
"1131" "aceabc_result.TextGrid" 39 "vastasin" "vaatasin"
"1132" "aceabc_result.TextGrid" 39 "sina" "sina"
"1133" "aceabc_result.TextGrid" 39 "oled" "oled"
"1134" "aceabc_result.TextGrid" 39 "trolli" "trolli"
"1135" "aceabc_result.TextGrid" 39 "ja" "ja"
"1136" "aceabc_result.TextGrid" 39 "siis" "siis"
"1137" "aceabc_result.TextGrid" 39 "mingi" "mingi"
"1138" "aceabc_result.TextGrid" 39 "tüüp" "tüüp"
"1139" "aceabc_result.TextGrid" 39 "kes" "kes"
"1140" "aceabc_result.TextGrid" 39 "siis" "siis"
"1141" "aceabc_result.TextGrid" 39 "esitab" "esitab"
"1142" "aceabc_result.TextGrid" 39 "niiöelda" "niiöelda"
"1143" "aceabc_result.TextGrid" 39 "vastasleeri" "vastasleeri"
"1144" "aceabc_result.TextGrid" 39 "ütles" "ütles"
"1145" "aceabc_result.TextGrid" 39 "####" "aga"
"1146" "aceabc_result.TextGrid" 39 "aga" "kas"
"1147" "aceabc_result.TextGrid" 39 "sa" "sa"
"1148" "aceabc_result.TextGrid" 39 "oled" "oled"
"1149" "aceabc_result.TextGrid" 39 "kõige" "kõige"
"1150" "aceabc_result.TextGrid" 39 "ilusam" "ilusam"
"1151" "aceabc_result.TextGrid" 39 "troll" "####"
"1152" "aceabc_result.TextGrid" 39 "okei" "####"
"1153" "aceabc_result.TextGrid" 39 "see" "####"
"1154" "aceabc_result.TextGrid" 39 "on" "####"
"1155" "aceabc_result.TextGrid" 40 "see" "see"
"1156" "aceabc_result.TextGrid" 40 "on" "on"
"1157" "aceabc_result.TextGrid" 40 "see" "see"
"1158" "aceabc_result.TextGrid" 40 "asi" "asi"
"1159" "aceabc_result.TextGrid" 40 "et" "et"
"1160" "aceabc_result.TextGrid" 41 "ma" "ma"
"1161" "aceabc_result.TextGrid" 41 "nagu" "nagu"
"1162" "aceabc_result.TextGrid" 41 "tükk" "tükk"
"1163" "aceabc_result.TextGrid" 41 "ae" "####"
"1164" "aceabc_result.TextGrid" 41 "ma" "aeg"
"1165" "aceabc_result.TextGrid" 41 "nagu" "nagu"
"1166" "aceabc_result.TextGrid" 41 "kogu" "kogu"
"1167" "aceabc_result.TextGrid" 41 "aeg" "aeg"
"1168" "aceabc_result.TextGrid" 41 "sain" "sain"
"1169" "aceabc_result.TextGrid" 41 "aru" "aru"
"1170" "aceabc_result.TextGrid" 41 "et" "et"
"1171" "aceabc_result.TextGrid" 41 "ma" "ma"
"1172" "aceabc_result.TextGrid" 41 "ei" "ei"
"1173" "aceabc_result.TextGrid" 41 "ole" "ole"
"1174" "aceabc_result.TextGrid" 41 "päris" "päris"
"1175" "aceabc_result.TextGrid" 41 "normaalne" "normaalne"
"1176" "aceabc_result.TextGrid" 41 "ütleme" "ütleme"
"1177" "aceabc_result.TextGrid" 41 "nii" "nii"
"1178" "aceabc_result.TextGrid" 41 "ja" "####"
"1179" "aceabc_result.TextGrid" 41 "ja" "ja"
"1180" "aceabc_result.TextGrid" 41 "tükk" "tükk"
"1181" "aceabc_result.TextGrid" 41 "aega" "aega"
"1182" "aceabc_result.TextGrid" 41 "mul" "mul"
"1183" "aceabc_result.TextGrid" 41 "oli" "####"
"1184" "aceabc_result.TextGrid" 41 "ka" "ka"
"1185" "aceabc_result.TextGrid" 41 "see" "see"
"1186" "aceabc_result.TextGrid" 41 "asi" "asi"
"1187" "aceabc_result.TextGrid" 41 "sest" "sest"
"1188" "aceabc_result.TextGrid" 41 "ma" "ma"
"1189" "aceabc_result.TextGrid" 41 "tean" "tean"
"1190" "aceabc_result.TextGrid" 41 "et" "et"
"1191" "aceabc_result.TextGrid" 41 "hästi" "hästi"
"1192" "aceabc_result.TextGrid" 41 "paljudel" "paljudel"
"1193" "aceabc_result.TextGrid" 41 "hästi" "hästi"
"1194" "aceabc_result.TextGrid" 41 "paljud" "paljud"
"1195" "aceabc_result.TextGrid" 41 "on" "on"
"1196" "aceabc_result.TextGrid" 41 "kirjeldanud" "kirjeldanud"
"1197" "aceabc_result.TextGrid" 41 "oma" "oma"
"1198" "aceabc_result.TextGrid" 41 "teel" "teel"
"1199" "aceabc_result.TextGrid" 41 "avastamiseni" "avastamiseni"
"1200" "aceabc_result.TextGrid" 41 "et" "et"
"1201" "aceabc_result.TextGrid" 41 "nad" "####"
"1202" "aceabc_result.TextGrid" 41 "on" "no"
"1203" "aceabc_result.TextGrid" 41 "ässad" "mõelnud"
"1204" "aceabc_result.TextGrid" 41 "et" "et"
"1205" "aceabc_result.TextGrid" 41 "nad" "nad"
"1206" "aceabc_result.TextGrid" 41 "on" "on"
"1207" "aceabc_result.TextGrid" 41 "näiteks" "####"
"1208" "aceabc_result.TextGrid" 41 "mõelnud" "####"
"1209" "aceabc_result.TextGrid" 41 "et" "####"
"1210" "aceabc_result.TextGrid" 41 "nad" "piisaks"
"1211" "aceabc_result.TextGrid" 41 "onbiseksuaalid" "aalid"
"1212" "aceabc_result.TextGrid" 41 "sest" "sest"
"1213" "aceabc_result.TextGrid" 41 "et" "et"
"1214" "aceabc_result.TextGrid" 41 "mhmh" "####"
"1215" "aceabc_result.TextGrid" 42 "ma" "ma"
"1216" "aceabc_result.TextGrid" 42 "ei" "ei"
"1217" "aceabc_result.TextGrid" 42 "mulle" "mulle"
"1218" "aceabc_result.TextGrid" 42 "ei" "ei"
"1219" "aceabc_result.TextGrid" 42 "meeldi" "meeldi"
"1220" "aceabc_result.TextGrid" 42 "need" "need"
"1221" "aceabc_result.TextGrid" 42 "äkki" "äkki"
"1222" "aceabc_result.TextGrid" 42 "mulle" "mulle"
"1223" "aceabc_result.TextGrid" 42 "meeldivad" "meeldivad"
"1224" "aceabc_result.TextGrid" 42 "need" "need"
"1225" "aceabc_result.TextGrid" 42 "aga" "####"
"1226" "aceabc_result.TextGrid" 42 "ma" "####"
"1227" "aceabc_result.TextGrid" 42 "ei" "####"
"1228" "aceabc_result.TextGrid" 42 "ma" "ma"
"1229" "aceabc_result.TextGrid" 42 "ei" "ei"
"1230" "aceabc_result.TextGrid" 42 "tea" "tea"
"1231" "aceabc_result.TextGrid" 42 "aga" "aga"
"1232" "aceabc_result.TextGrid" 42 "minu" "minu"
"1233" "aceabc_result.TextGrid" 42 "puhul" "puhul"
"1234" "aceabc_result.TextGrid" 42 "oli" "oli"
"1235" "aceabc_result.TextGrid" 42 "see" "see"
"1236" "aceabc_result.TextGrid" 42 "et" "et"
"1237" "aceabc_result.TextGrid" 42 "ma" "####"
"1238" "aceabc_result.TextGrid" 42 "ma" "ma"
"1239" "aceabc_result.TextGrid" 42 "mäletan" "mäletan"
"1240" "aceabc_result.TextGrid" 42 "ma" "ma"
"1241" "aceabc_result.TextGrid" 42 "vahepeal" "vahepeal"
"1242" "aceabc_result.TextGrid" 42 "olin" "olin"
"1243" "aceabc_result.TextGrid" 42 "koolis" "koolis"
"1244" "aceabc_result.TextGrid" 42 "istusin" "istusin"
"1245" "aceabc_result.TextGrid" 42 "et" "et"
"1246" "aceabc_result.TextGrid" 42 "mõtlesin" "mõtlesin"
"1247" "aceabc_result.TextGrid" 42 "et" "####"
"1248" "aceabc_result.TextGrid" 42 "ah" "ah"
"1249" "aceabc_result.TextGrid" 42 "kurat" "kurat"
"1250" "aceabc_result.TextGrid" 42 "oleksin" "oleksin"
"1251" "aceabc_result.TextGrid" 42 "ma" "ma"
"1252" "aceabc_result.TextGrid" 42 "lesbi" "lesbi"
"1253" "aceabc_result.TextGrid" 42 "mulle" "mulle"
"1254" "aceabc_result.TextGrid" 42 "onju" "####"
"1255" "aceabc_result.TextGrid" 42 "siis" "siis"
"1256" "aceabc_result.TextGrid" 42 "vähemalt" "vähemalt"
"1257" "aceabc_result.TextGrid" 42 "meeldiks" "meeldiks"
"1258" "aceabc_result.TextGrid" 42 "keegi" "keegi"
"1259" "aceabc_result.TextGrid" 42 "aww" "####"
"1260" "aceabc_result.TextGrid" 42 "okei" "####"
"1261" "aceabc_result.TextGrid" 43 "aru" "kaare"
"1262" "aceabc_result.TextGrid" 43 "et" "et"
"1263" "aceabc_result.TextGrid" 43 "ma" "ma"
"1264" "aceabc_result.TextGrid" 43 "ei" "ei"
"1265" "aceabc_result.TextGrid" 43 "ma" "ma"
"1266" "aceabc_result.TextGrid" 43 "ei" "ei"
"1267" "aceabc_result.TextGrid" 43 "saa" "saa"
"1268" "aceabc_result.TextGrid" 43 "sellele" "seal"
"1269" "aceabc_result.TextGrid" 43 "pihta" "pihta"
"1270" "aceabc_result.TextGrid" 43 "et" "et"
"1271" "aceabc_result.TextGrid" 43 "kõigil" "kõigil"
"1272" "aceabc_result.TextGrid" 43 "on" "on"
"1273" "aceabc_result.TextGrid" 43 "mingid" "mingid"
"1274" "aceabc_result.TextGrid" 43 "silmarõõmud" "silmarõõmud"
"1275" "aceabc_result.TextGrid" 43 "ma" "ma"
"1276" "aceabc_result.TextGrid" 43 "lihtsalt" "lihtsalt"
"1277" "aceabc_result.TextGrid" 43 "nagu" "nagu"
"1278" "aceabc_result.TextGrid" 43 "mhmh" "####"
"1279" "aceabc_result.TextGrid" 43 "ja" "ja"
"1280" "aceabc_result.TextGrid" 43 "ja" "ja"
"1281" "aceabc_result.TextGrid" 43 "silmarõõm" "silmarõõm"
"1282" "aceabc_result.TextGrid" 43 "on" "on"
"1283" "aceabc_result.TextGrid" 43 "tavaliselt" "tavaliselt"
"1284" "aceabc_result.TextGrid" 43 "ju" "ju"
"1285" "aceabc_result.TextGrid" 43 "inimene" "inimene"
"1286" "aceabc_result.TextGrid" 43 "kellega" "kellega"
"1287" "aceabc_result.TextGrid" 43 "sa" "sa"
"1288" "aceabc_result.TextGrid" 43 "ei" "ei"
"1289" "aceabc_result.TextGrid" 43 "suhtle" "suhtle"
"1290" "aceabc_result.TextGrid" 43 "ka" "ka"
"1291" "aceabc_result.TextGrid" 43 "et" "et"
"1292" "aceabc_result.TextGrid" 43 "see" "see"
"1293" "aceabc_result.TextGrid" 43 "on" "on"
"1294" "aceabc_result.TextGrid" 43 "kuskil" "kuskil"
"1295" "aceabc_result.TextGrid" 43 "paralleelklassis" "paralleelklassis"
"1296" "aceabc_result.TextGrid" 43 "või" "või"
"1297" "aceabc_result.TextGrid" 43 "või" "või"
"1298" "aceabc_result.TextGrid" 43 "aa" "####"
"1299" "aceabc_result.TextGrid" 43 "jaa" "####"
"1300" "aceabc_result.TextGrid" 43 "mingi" "mingi"
"1301" "aceabc_result.TextGrid" 43 "mingi" "mingi"
"1302" "aceabc_result.TextGrid" 43 "vanem" "vanem"
"1303" "aceabc_result.TextGrid" 43 "klassi" "klassi"
"1304" "aceabc_result.TextGrid" 43 "nagu" "nagu"
"1305" "aceabc_result.TextGrid" 43 "vane" "####"
"1306" "aceabc_result.TextGrid" 43 "vanemast" "vanemast"
"1307" "aceabc_result.TextGrid" 43 "astmest" "astmest"
"1308" "aceabc_result.TextGrid" 43 "ja" "ja"
"1309" "aceabc_result.TextGrid" 43 "siis" "siis"
"1310" "aceabc_result.TextGrid" 43 "kõigil" "kõigil"
"1311" "aceabc_result.TextGrid" 43 "on" "on"
"1312" "aceabc_result.TextGrid" 43 "ja" "ja"
"1313" "aceabc_result.TextGrid" 43 "ma" "####"
"1314" "aceabc_result.TextGrid" 43 "mingi" "mingi"
"1315" "aceabc_result.TextGrid" 43 "mõtlen" "####"
"1316" "aceabc_result.TextGrid" 43 "mi" "####"
"1317" "aceabc_result.TextGrid" 44 "miks" "miks"
"1318" "aceabc_result.TextGrid" 44 "mille" "mille"
"1319" "aceabc_result.TextGrid" 44 "alusel" "alusel"
"1320" "aceabc_result.TextGrid" 44 "ja" "####"
"1321" "aceabc_result.TextGrid" 44 "noh" "####"
"1322" "aceabc_result.TextGrid" 45 "jah" "ja"
"1323" "aceabc_result.TextGrid" 45 "ei" "ei"
"1324" "aceabc_result.TextGrid" 45 "mulle" "mulle"
"1325" "aceabc_result.TextGrid" 45 "see" "see"
"1326" "aceabc_result.TextGrid" 45 "meeldi" "meeldi"
"1327" "aceabc_result.TextGrid" 45 "mulle" "mulle"
"1328" "aceabc_result.TextGrid" 45 "see" "see"
"1329" "aceabc_result.TextGrid" 45 "ei" "ei"
"1330" "aceabc_result.TextGrid" 45 "meeldi" "meeldi"
"1331" "aceabc_result.TextGrid" 45 "mulle" "mulle"
"1332" "aceabc_result.TextGrid" 45 "meeldivad" "meeldivad"
"1333" "aceabc_result.TextGrid" 45 "koerad" "koerad"
"1334" "aceabc_result.TextGrid" 45 "aga" "aga"
"1335" "aceabc_result.TextGrid" 45 "mitte" "mitte"
"1336" "aceabc_result.TextGrid" 45 "nii" "nii"
"1337" "aceabc_result.TextGrid" 46 "et" "et"
"1338" "aceabc_result.TextGrid" 46 "et" "et"
"1339" "aceabc_result.TextGrid" 46 "jah" "ja"
"1340" "aceabc_result.TextGrid" 46 "mul" "mul"
"1341" "aceabc_result.TextGrid" 46 "läks" "läks"
"1342" "aceabc_result.TextGrid" 46 "päris" "päris"
"1343" "aceabc_result.TextGrid" 46 "kaua" "kaua"
"1344" "aceabc_result.TextGrid" 46 "aega" "aega"
"1345" "aceabc_result.TextGrid" 46 "kuni" "kuni"
"1346" "aceabc_result.TextGrid" 46 "ma" "ma"
"1347" "aceabc_result.TextGrid" 46 "avastasin" "avastasin"
"1348" "aceabc_result.TextGrid" 46 "et" "ta"
"1349" "aceabc_result.TextGrid" 46 "aseksuaalsus" "seksuaalsus"
"1350" "aceabc_result.TextGrid" 46 "on" "on"
"1351" "aceabc_result.TextGrid" 46 "olemas" "olemas"
"1352" "aceabc_result.TextGrid" 46 "mhmh" "####"
"1353" "aceabc_result.TextGrid" 46 "et" "####"
"1354" "aceabc_result.TextGrid" 46 "et" "et"
"1355" "aceabc_result.TextGrid" 46 "jah" "jah"
"1356" "aceabc_result.TextGrid" 46 "et" "et"
"1357" "aceabc_result.TextGrid" 46 "ma" "ma"
"1358" "aceabc_result.TextGrid" 46 "seda" "seda"
"1359" "aceabc_result.TextGrid" 46 "ja" "ei"
"1360" "aceabc_result.TextGrid" 46 "siis" "siis"
"1361" "aceabc_result.TextGrid" 46 "mul" "mul"
"1362" "aceabc_result.TextGrid" 46 "tükk" "tükk"
"1363" "aceabc_result.TextGrid" 46 "aega" "aega"
"1364" "aceabc_result.TextGrid" 46 "oli" "oli"
